# 现代常用多音字读音表，用于手写反查时的读音标注。
# 数据来源：https://github.com/mapull/chinese-dictionary (MIT License) character/polyphone.json
# 仅保留字符与读音，U+0261 已规范化为普通 g。格式：汉字<TAB>读音1,读音2,...
丁	dīng,zhēng
旽	tūn,zhùn
旿	wù,wǔ
昳	dié,yì
晃	huǎng,huàng
晇	xù,kuā
晕	yùn,yūn
晟	shèng,chéng
景	jǐng,yǐng
晻	àn,ǎn,yǎn
暀	wǎng,wàng
暏	shǔ,dǔ
暕	jián,lán
暴	bào,pù
暿	xī,xǐ
曝	pù,bào
曲	qū,qǔ
更	gēng,gèng
曶	hū,hù
曾	zēng,céng
朁	cǎn,qián,jiàn
朇	bì,pí
有	yǒu,yòu
朌	fén,bān
服	fú,fù
朐	qú,xù,chǔn
朚	huāng,máng,wáng
朝	zhāo,cháo
期	qī,jī
朣	tóng,chuáng
朮	shù,shú,zhú
术	shù,shú,zhú
朱	zhū,shú
朴	pǔ,pò,pō,piáo
朷	dāo,tiáo,mù
朹	qiú,guǐ
朾	chéng,chēng
杅	yú,wū
杆	gān,gǎn
杈	chā,chà
杉	shān,shā
杒	rèn,ér
杓	sháo,biāo
杔	tuō,zhé
杕	dì,duò
杚	gū,gài
杝	yí,lì,lí,duò,tuò
杠	gàng,gāng
条	tiáo,tiāo
杩	mà,mǎ
杫	sì,zhǐ,xǐ
杬	yuán,wán
杮	fèi,bèi
杸	shū,duì
杻	niǔ,chǒu
枂	wò,yuè
枈	pī,mì
枋	fāng,bìng
枎	fú,fū
枑	hù,dǐ
枖	yǎo,yāo
枙	ě,è
枝	zhī,qí
枞	cōng,zōng
枤	dì,duò
枮	xiān,zhēn
枱	sì,tái
枸	jǔ,gǒu
枹	bāo,fú
柁	tuó,duò
柅	nǐ,chì
柈	pán,bàn
柍	yǎng,yàng,yāng,yīng
柏	bǎi,bó,bò
柖	sháo,shào
柚	yòu,yóu
柜	guì,jǔ
柞	zuò,zhà
柤	zhā,zǔ,zū
查	chá,zhā
柨	bù,pū
柪	āo,ào
柭	bā,fú,pèi,bó,biē
柮	duò,zuó,wù
柲	bì,bié
柸	bēi,pēi
柹	shì,fèi
査	chá,zhā
栅	zhà,shān,shi,cè
栎	lì,yuè
栔	qì,qiè
栖	qī,xī
栝	guā,tiǎn
栟	bēn,bīng
校	xiào,jiào
栧	yì,xiè
栫	jiàn,zùn
栯	yǒu,yù
核	hé,hú
栺	zhī,yì
桁	héng,háng
桄	guāng,guàng
桋	yí,tí
桔	jié,jú
桙	yú,móu
桚	zā,zǎn
桡	ráo,náo
桧	guì,huì
桭	chén,zhèn
桳	bèn,fàn
桻	fēng,fèng
梀	sù,yìn
梃	tǐng,tìng
梋	xuān,juān,xié
梎	āo,yòu
條	tiáo,tiāo
梴	chān,yán
棇	cōng,sōng
棍	gùn,hùn
棏	dé,zhé
棑	pái,bèi,pèi
棓	bàng,pǒu,bèi,bēi
棙	lì,liè
棣	dì,dài,tì
棪	yǎn,yàn
棱	léng,lēng,líng
棴	fú,sù
棷	zōu,sǒu
棹	zhào,zhuō
棿	ní,nǐ
椄	jiē,qiè
椅	yǐ,yī
椆	chóu,zhòu,diāo
椉	chéng,shèng
椊	zú,cuì
椌	qiāng,kōng
椎	zhuī,chuí
椦	quān,juàn,quán
椯	duǒ,chuán
